순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,7038600379,주식회사 언주전기건설,강태호,분석,734354190,86.748,87.365,-0.25520 (99.7448),,2020/04/14 10:05:03,
2,1138154757,충무전기주식회사,박노원,분석,734427100,86.757,87.374,-0.24521 (99.75479),,2020/04/14 13:49:43,
3,2058126341,종합전기 주식회사,김유훈,분석,734439835,86.759,87.375,-0.24346 (99.75654),,2020/04/17 09:00:16,
4,2298119166,(주)삼영기업,금동흠,분석,734469400,86.762,87.379,-0.23940 (99.7606),,2020/04/13 09:08:18,
5,1108175433,승림이앤씨(주),서영식,분석,734478650,86.764,87.38,-0.23814 (99.76186),,2020/04/14 16:09:49,
6,2098111933,건양전기(주),홍순문,분석,734491269,86.765,87.382,-0.23640 (99.7636),,2020/04/17 09:55:34,
7,6988700230,주식회사 스마트이엔씨,이종환,분석,734494100,86.766,87.382,-0.23602 (99.76398),,2020/04/16 12:33:32,
8,1088171147,경원산전주식회사,배종근,분석,734500020,86.766,87.383,-0.23520 (99.7648),,2020/04/16 15:22:37,
9,1138165967,(주)다솔이앤씨,김광순,분석,734500750,86.766,87.383,-0.23510 (99.7649),,2020/04/15 23:59:34,
10,1058687494,(주)이웰파워테크,김영준,분석,734558348,86.774,87.39,-0.22720 (99.7728),,2020/04/16 14:47:14,
11,2028158261,주식회사 남두,김승균,분석,734564182,86.775,87.39,-0.22640 (99.7736),,2020/04/16 09:29:51,
12,6218602134,(주)플러스전력,이하일,분석,734570743,86.775,87.391,-0.22551 (99.77449),,2020/04/17 09:46:59,
13,2068606585,(주)상지일렉스,정원상,분석,734574910,86.776,87.392,-0.22493 (99.77507),,2020/04/15 22:05:43,
14,1068684748,주식회사고도기술,고동현,분석,734579640,86.776,87.392,-0.22428 (99.77572),,2020/04/16 11:23:12,
15,1101116047,에코,이덕순,분석,734619596,86.782,87.397,-0.21880 (99.7812),,2020/04/16 16:08:29,
16,7258800112,동서전기건설공사 주식회사,박진규,분석,734621780,86.782,87.397,-0.21851 (99.78149),,2020/04/17 10:24:52,
17,2128174900,대승일렉트릭(주),한윤근,분석,734645840,86.785,87.4,-0.21521 (99.78479),,2020/04/14 15:16:49,
18,1138111990,한경기전(주),박태용,분석,734671370,86.788,87.403,-0.21170 (99.7883),,2020/04/14 13:55:47,
19,1398115682,백상건설 주식회사,정홍훈,분석,734683700,86.79,87.404,-0.21001 (99.78999),,2020/04/17 08:36:02,
20,1068182600,창림엔지니어링(주),김사승,분석,734688135,86.79,87.405,-0.20940 (99.7906),,2020/04/16 08:57:32,
21,2048620126,(주)상부사종합건설,이상만,분석,734689592,86.791,87.405,-0.20921 (99.79079),,2020/04/17 08:48:55,
22,8358600526,주식회사두성인프라,김상현,분석,734716570,86.794,87.408,-0.20551 (99.79449),,2020/04/17 06:53:46,
23,2308108408,주식회사 엠큐이엔씨,염진용,분석,734723008,86.795,87.409,-0.20462 (99.79538),,2020/04/16 15:43:48,
24,1148137386,(주)유일엔지니어링,신영호,분석,734727600,86.795,87.41,-0.20399 (99.79601),,2020/04/14 15:38:24,
25,3778100141,주식회사 신성전력,이형기,분석,734749381,86.798,87.412,-0.20101 (99.79899),,2020/04/17 07:03:52,
26,2068656936,(주)한양이엔아이,안원준,분석,734784000,86.803,87.416,-0.19626 (99.80374),,2020/04/14 10:59:39,
27,1058133654,백상기업(주),김풍원,분석,734835000,86.809,87.422,-0.18926 (99.81074),,2020/04/16 17:38:52,
28,2208869047,양지전기 주식회사,박승연,분석,734863120,86.813,87.426,-0.18541 (99.81459),,2020/04/09 10:59:51,
29,1058173369,(주)신한개발,이종순,분석,734888640,86.816,87.429,-0.18191 (99.81809),,2020/04/16 15:57:14,
30,2158674281,주식회사 태경씨앤씨,남기봉,분석,734906880,86.818,87.431,-0.17940 (99.8206),,2020/04/16 13:46:09,
31,2170389905,금화전력공사,이계성,분석,734949890,86.824,87.436,-0.17351 (99.82649),,2020/04/16 13:17:48,
32,2178114305,주식회사 케이엠씨앤아이,서정만,분석,734957300,86.825,87.437,-0.17249 (99.82751),,2020/04/15 09:55:57,
33,1408169475,주식회사 제이앤제이파워스,박재옥,분석,734959900,86.825,87.437,-0.17213 (99.82787),,2020/04/16 09:20:54,
34,1068136902,대일전기산업(주),임태원,분석,734966100,86.826,87.438,-0.17128 (99.82872),,2020/04/17 08:47:23,
35,1108172440,주식회사 다보파워코리아,강희철,분석,734979789,86.827,87.44,-0.16940 (99.8306),,2020/04/16 14:01:47,
36,1198625634,주식회사 영은전력,정춘근,분석,734982710,86.828,87.44,-0.16900 (99.831),,2020/04/16 08:26:45,
37,1288690240,주식회사 도은이앤지,김미례,분석,734994077,86.829,87.441,-0.16745 (99.83255),,2020/04/16 18:42:19,
38,1298119624,우일계전공업 주식회사,백노현,분석,735012300,86.832,87.444,-0.16495 (99.83505),,2020/04/16 14:20:53,
39,1058661835,숭일전기주식회사,이환룡,분석,735022810,86.833,87.445,-0.16350 (99.8365),,2020/04/14 13:24:56,
40,2048644152,신해공영주식회사,이종범,분석,735033400,86.834,87.446,-0.16205 (99.83795),,2020/04/16 16:58:33,
41,1108179098,(주)대승이앤씨,남현,분석,735073800,86.839,87.451,-0.15651 (99.84349),,2020/04/14 15:48:21,
42,2028136758,주식회사 남양계전,민강기,분석,735090600,86.842,87.453,-0.15421 (99.84579),,2020/04/16 18:59:55,
43,1198148947,주식회사 광성기전,김성원,분석,735105200,86.843,87.455,-0.15221 (99.84779),,2020/04/17 09:45:57,
44,1054184031,영우전설,신도현,분석,735141400,86.848,87.459,-0.14724 (99.85276),,2020/04/16 15:10:57,
45,1078140073,(주)대도아이앤티,이상봉,분석,735143120,86.848,87.459,-0.14700 (99.853),,2020/04/16 08:35:33,
46,2058140829,원앤원산업개발(주),배애순,분석,735168640,86.852,87.462,-0.14350 (99.8565),,2020/04/14 10:46:06,
47,1088195004,(주)한양케이앤이,김홍인,분석,735182489,86.853,87.464,-0.14160 (99.8584),,2020/04/16 09:30:28,
48,1098160416,(주)용진정보통신,도용석,분석,735201664,86.856,87.466,-0.13898 (99.86102),,2020/04/09 10:26:04,
49,2148777322,주식회사 보림프러스,김병관,분석,735231086,86.859,87.47,-0.13494 (99.86506),,2020/04/17 09:30:18,
50,1238128751,세종텔레콤 주식회사,유기윤,분석,735233450,86.86,87.47,-0.13462 (99.86538),,2020/04/17 09:28:39,
51,2158119769,주식회사 남일기업,이범석,분석,735261966,86.863,87.473,-0.13070 (99.8693),,2020/04/16 14:52:03,
52,2048124559,(주)대용와트스,남상태,분석,735283839,86.866,87.476,-0.12770 (99.8723),,2020/04/10 08:56:02,
53,3138111440,선영기전주식회사,이두경,분석,735314460,86.87,87.479,-0.12351 (99.87649),,2020/04/16 09:39:35,
54,2098154887,주식회사 대동전력,김종진,분석,735347280,86.874,87.483,-0.11900 (99.881),,2020/04/16 18:40:10,
55,2158627643,(주)동산전력,조성일,분석,735387380,86.879,87.488,-0.11350 (99.8865),,2020/04/13 17:49:39,
56,2018147460,태성전기통신(주),이덕우,분석,735390000,86.88,87.488,-0.11315 (99.88685),,2020/04/14 20:13:47,
57,2208165402,서전엔지니어링(주),유경하,분석,735401231,86.881,87.49,-0.11160 (99.8884),,2020/04/16 16:39:35,
58,1078734710,(주)일조이에스,박상권,분석,735408958,86.882,87.491,-0.11055 (99.88945),,2020/04/16 18:13:52,
59,1018116968,(주)넥슨정보통신,신양인,분석,735411257,86.882,87.491,-0.11023 (99.88977),,2020/04/13 11:03:34,
60,1090293396,진성전력공사,김항진,분석,735416207,86.883,87.492,-0.10955 (99.89045),,2020/04/10 21:10:03,
61,2068125141,주식회사 스테이지넷,임영규,분석,735441332,86.886,87.495,-0.10611 (99.89389),,2020/04/14 11:22:32,
62,1198165586,제이케이앤티텔레콤(주),전찬화,분석,735450994,86.887,87.496,-0.10478 (99.89522),,2020/04/16 14:28:51,
63,1048152717,(주)천광밝은세상,강민주,분석,735512790,86.895,87.503,-0.09630 (99.9037),,2020/04/17 09:35:50,
64,2068621970,동서전력공사(주),정준섭,분석,735528000,86.897,87.505,-0.09422 (99.90578),,2020/04/16 14:43:44,
65,1018662695,주식회사 메가시스템,김대석,분석,735540160,86.899,87.506,-0.09255 (99.90745),,2020/04/13 17:25:19,
66,2108161146,동현전력(주),김종황,분석,735561830,86.902,87.509,-0.08958 (99.91042),,2020/04/13 23:55:39,
67,1190440828,삼우이노베이션,노범섭,분석,735572560,86.903,87.51,-0.08811 (99.91189),,2020/04/16 15:24:42,
68,2158138830,주식회사와이드이엔씨,최주섭,분석,735577100,86.904,87.511,-0.08748 (99.91252),,2020/04/17 08:30:03,
69,2208108546,경림전기(주),김인형,분석,735606630,86.907,87.514,-0.08343 (99.91657),,2020/04/16 14:19:43,
70,1088192327,우림전력(주),전재홍,분석,735611220,86.908,87.515,-0.08281 (99.91719),,2020/04/16 09:58:17,
71,2118615126,동승엔지니어링(주),송창훈,분석,735614320,86.908,87.515,-0.08238 (99.91762),,2020/04/15 14:34:22,
72,2108146034,세현전력주식회사,김홍만,분석,735628890,86.91,87.517,-0.08038 (99.91962),,2020/04/14 10:36:13,
73,7797200063,장현전기,박병만,분석,735652052,86.913,87.52,-0.07721 (99.92279),,2020/04/17 07:54:21,
74,2068119300,주식회사 불꽃,김재윤,분석,735670650,86.915,87.522,-0.07465 (99.92535),,2020/04/14 09:59:02,
75,2060166188,경일전력,조상순,분석,735671393,86.916,87.522,-0.07455 (99.92545),,2020/04/17 12:53:32,
76,2108122823,우영정보통신(주),황인희,분석,735716220,86.921,87.527,-0.06840 (99.9316),,2020/04/17 09:11:55,
77,1118126196,(주)광성통신,김성철,분석,735724674,86.922,87.528,-0.06725 (99.93275),,2020/04/14 12:05:50,
78,1108175767,(주)에스에이치전기,김성태,분석,735732260,86.923,87.529,-0.06620 (99.9338),,2020/04/16 15:38:30,
79,2108152647,(주)나노비스타,김애란,분석,735739475,86.924,87.53,-0.06522 (99.93478),,2020/04/16 11:34:03,
80,1268122794,(주)동천전력,이영두,분석,735740470,86.924,87.53,-0.06508 (99.93492),,2020/04/14 08:39:38,
81,1208764366,한국발전기술주식회사,백남호,분석,735790000,86.931,87.536,-0.05829 (99.94171),,2020/04/17 09:48:54,
82,2118730901,주식회사 우리이엔이,주남석,분석,735797150,86.932,87.537,-0.05731 (99.94269),,2020/04/14 15:20:34,
83,2028104237,대선이엔씨(주),최승재,분석,735804246,86.933,87.538,-0.05633 (99.94367),,2020/04/16 14:58:42,
84,1198133411,주식회사 나경이엔씨,윤원섭,분석,735818289,86.934,87.539,-0.05441 (99.94559),,2020/04/16 18:39:37,
85,2128196904,엘렉트론산전 주식회사,조희정,분석,735820670,86.935,87.54,-0.05408 (99.94592),,2020/04/16 10:42:50,
86,1088193419,(주)유성전기,유명호,분석,735855310,86.939,87.544,-0.04933 (99.95067),,2020/04/13 14:12:21,
87,1088177030,신정전력주식회사,서규석,분석,735881730,86.942,87.547,-0.04571 (99.95429),,2020/04/15 23:44:11,
88,2128607691,주식회사 대방전기,여민구,분석,735949910,86.951,87.555,-0.03635 (99.96365),,2020/04/14 09:56:56,
89,1051234695,아이넷전력,최전호,분석,735972800,86.954,87.558,-0.03321 (99.96679),,2020/04/14 08:22:56,
90,2158633067,서종이앤티(주),한영도,분석,735993500,86.957,87.56,-0.03038 (99.96962),,2020/04/16 08:31:54,
91,1098143173,에이스건설 주식회사,권보식,분석,735994018,86.957,87.56,-0.03030 (99.9697),,2020/04/17 08:50:21,
92,1278630481,서화이엔지(주),노동해,분석,736008060,86.958,87.562,-0.02838 (99.97162),,2020/04/13 19:09:24,
93,1098614988,이창전력(주),이석용,분석,736041400,86.963,87.566,-0.02381 (99.97619),,2020/04/16 11:51:59,
94,1208137120,(주)지티일렉콘,고광열,분석,736056542,86.965,87.568,-0.02173 (99.97827),,2020/04/17 01:37:41,
95,2178119862,(주)우진전력,이강종,분석,736058183,86.965,87.568,-0.02150 (99.9785),,2020/04/17 07:31:11,
96,2148123348,성제전기(주),김팔성,분석,736061828,86.965,87.568,-0.02100 (99.979),,2020/04/17 09:30:36,
97,2208660663,주식회사 데이타렉스,김정국,분석,736066200,86.966,87.569,-0.02041 (99.97959),,2020/04/17 12:30:56,
98,2128165721,(주)대원이엔씨,신종균,분석,736083710,86.968,87.571,-0.01800 (99.982),,2020/04/16 15:15:19,
99,1088114068,(주)대인정보통신,유재호,분석,736148780,86.976,87.579,-0.00908 (99.99092),,2020/04/14 15:47:45,
100,2148632162,신영전자통신(주),김성식,분석,736153200,86.977,87.579,-0.00847 (99.99153),,2020/04/14 10:59:04,
101,1178152009,동아신호 주식회사,최종수,분석,736154430,86.977,87.579,-0.00830 (99.9917),,2020/04/16 15:29:00,
102,2048644550,주식회사 대일종합공사,김재호,분석,736196562,86.982,87.584,-0.00253 (99.99747),,2020/04/17 08:31:00,
103,2188117964,(주)투윈스컴,박성하,분석,736200370,86.983,87.585,-0.00200 (99.998),,2020/04/16 07:58:48,
104,1058620488,(주)화인이앤텍,이왕주,분석,736205470,86.984,87.585,-0.00130 (99.9987),,2020/04/16 09:36:15,
105,1118105380,성산전설 주식회사,조희성,분석,736284943,86.994,87.595,0.00960 (100.0096),,2020/04/17 10:58:04,
106,3628601497,호재전력공사 주식회사,박재일,분석,736286410,86.994,87.595,0.00980 (100.0098),,2020/04/17 11:52:29,
107,2078153558,(주)동광지에스,이덕하,분석,736297000,86.995,87.596,0.01125 (100.01125),,2020/04/16 10:19:59,
108,2048162437,다남전기(주),이병근,분석,736344190,87.001,87.602,0.01772 (100.01772),,2020/04/14 08:51:34,
109,1208105711,주식회사 삼진일렉스,김성관,분석,736378000,87.006,87.606,0.02236 (100.02236),,2020/04/16 08:46:05,
110,6428800156,주식회사 신안전설,김미자,분석,736428000,87.012,87.612,0.02922 (100.02922),,2020/04/17 09:21:13,
111,1078617674,대명전력공사(주),오창훈,분석,736438062,87.013,87.613,0.03060 (100.0306),,2020/04/16 08:16:01,
112,2048154242,(주)신명하이테크,이동재,분석,736477250,87.018,87.618,0.03597 (100.03597),,2020/04/17 10:31:23,
113,1068677193,주식회사 해성이엔지,박권서,분석,736482722,87.019,87.618,0.03672 (100.03672),,2020/04/16 10:35:16,
114,1048142446,(주)대성텔레콤,양종만,분석,736495590,87.021,87.62,0.03848 (100.03848),,2020/04/17 09:51:13,
115,1080434888,은광전력공사,권오진,분석,736497165,87.021,87.62,0.03870 (100.0387),,2020/04/16 07:50:48,
116,1018183448,(주)에이치애비뉴앤컴퍼니,이동호,분석,736511704,87.023,87.622,0.04069 (100.04069),,2020/04/16 16:48:15,
117,1058169109,대조전설 주식회사,장철호,분석,736516800,87.023,87.623,0.04139 (100.04139),,2020/04/14 10:32:45,
118,1198624557,(주)이수전력,김정훈,분석,736555300,87.028,87.627,0.04667 (100.04667),,2020/04/17 07:43:36,
119,2048137258,대신엔에스(주),정동진,분석,736621800,87.037,87.635,0.05579 (100.05579),,2020/04/14 16:53:58,
120,1198116692,주식회사 서우건설산업,이종근,분석,736672800,87.043,87.641,0.06279 (100.06279),,2020/04/10 12:10:47,
121,2068617141,(주)텔코아,황민석,분석,736685240,87.045,87.643,0.06450 (100.0645),,2020/04/16 16:45:18,
122,2158152619,한국전기안전써비스(주),이병재,분석,736695270,87.046,87.644,0.06587 (100.06587),,2020/04/13 16:50:07,
123,1018151121,주식회사 경원전력,최경택,분석,736742840,87.052,87.649,0.07239 (100.07239),,2020/04/17 07:59:41,
124,2128166939,주식회사 연일전력,최재규,분석,736804088,87.06,87.657,0.08079 (100.08079),,2020/04/14 09:41:41,
125,2068625393,주식회사 성림전설,박상동,분석,736842000,87.065,87.661,0.08599 (100.08599),,2020/04/09 10:22:03,
126,2108118504,보성전기산업(주),강명구,분석,736861500,87.067,87.664,0.08867 (100.08867),,2020/04/09 09:11:51,
127,2068195889,광건건설 주식회사,장경래,분석,736943355,87.078,87.673,0.09990 (100.0999),,2020/04/17 08:42:05,
128,2068614770,태양전설주식회사,변형숙,분석,736950626,87.079,87.674,0.10089 (100.10089),,2020/04/16 18:15:13,
129,2148122183,(주)하나전기,김선식,분석,736952832,87.079,87.674,0.10120 (100.1012),,2020/04/16 19:26:56,
130,1198118405,우광기전(주),이기진,분석,736982190,87.083,87.678,0.10522 (100.10522),,2020/04/14 08:59:26,
131,2118145912,영남전기통신 주식회사,장한목,분석,737001442,87.085,87.68,0.10786 (100.10786),,2020/04/14 11:30:00,
132,2128153400,일렉파워주식회사,김성호,분석,737045922,87.091,87.685,0.11396 (100.11396),,2020/04/16 16:31:06,
133,1078712472,(주)내일에너지,백중철,분석,737057100,87.092,87.687,0.11550 (100.1155),,2020/04/17 09:42:29,
134,1188111020,한영정보통신(주),박대서,분석,737084420,87.096,87.69,0.11924 (100.11924),,2020/04/17 09:36:32,
135,2138800230,주식회사 성민전기통신,홍종애,분석,737100848,87.098,87.692,0.12150 (100.1215),,2020/04/13 16:42:25,
136,1138127129,(주)한성콘트롤,한종현,분석,737107774,87.099,87.693,0.12245 (100.12245),,2020/04/13 14:11:58,
137,2038149028,대륭중공건설(주),박임우,분석,737151158,87.104,87.698,0.12840 (100.1284),,2020/04/16 17:07:39,
138,2078109289,栗林建設 株式會社,윤석율,분석,737166000,87.106,87.7,0.13043 (100.13043),,2020/04/17 09:38:10,
139,2208106252,(주)중선아이티씨,김방희,분석,737181052,87.108,87.702,0.13250 (100.1325),,2020/04/16 09:43:14,
140,1108127950,서경전기(주),이종환,분석,737201613,87.111,87.704,0.13531 (100.13531),,2020/04/16 09:54:07,
141,1078155407,(주)윤익계전,안용준,분석,737247040,87.116,87.709,0.14155 (100.14155),,2020/04/08 16:25:33,
142,1388113508,(주)이엔티파워,장정수,분석,737306100,87.124,87.716,0.14965 (100.14965),,2020/04/14 16:20:18,
143,1054166085,동명전설,최오렬,분석,737331950,87.127,87.72,0.15319 (100.15319),,2020/04/13 17:02:15,
144,6058166688,(주)세계아이티씨,김황기,분석,737350940,87.13,87.722,0.15579 (100.15579),,2020/04/16 09:36:12,
145,1118129252,광원전설(주),김영선,분석,737364000,87.131,87.723,0.15759 (100.15759),,2020/04/17 12:09:53,
146,1148135087,장한전산(주),이상철,분석,737366982,87.132,87.724,0.15800 (100.158),,2020/04/16 17:20:02,
147,2148123881,주식회사 말타니,이세용,분석,737392320,87.135,87.727,0.16147 (100.16147),,2020/04/16 10:01:58,
148,1078636517,주식회사 국일이앤씨,서남석,분석,737400959,87.136,87.728,0.16265 (100.16265),,2020/04/16 16:51:11,
149,1088185597,경동이엔씨주식회사,박성기,분석,737403000,87.136,87.728,0.16293 (100.16293),,2020/04/17 09:29:18,
150,1208128198,주식회사 포스코오앤엠,박영관,분석,737405620,87.137,87.728,0.16329 (100.16329),,2020/04/14 08:28:32,
151,2298139274,(주)영풍전력설비,심문수,분석,737414920,87.138,87.729,0.16457 (100.16457),,2020/04/17 08:32:17,
152,2158652711,주식회사 강원이엔씨,이명수,분석,737416563,87.138,87.73,0.16480 (100.1648),,2020/04/16 09:40:49,
153,1018174274,엠버전기주식회사,지성일,분석,737479998,87.146,87.737,0.17350 (100.1735),,2020/04/16 17:43:22,
154,2128134820,(주)명지건업,윤명칠,분석,737486560,87.147,87.738,0.17440 (100.1744),,2020/04/16 15:37:43,
155,1053461665,대우전기,황광연,분석,737496768,87.148,87.739,0.17580 (100.1758),,2020/04/17 10:20:13,
156,2048190516,주식회사동훈전설,정준모,분석,737525205,87.152,87.743,0.17970 (100.1797),,2020/04/16 15:23:14,
157,1048153657,(주)재윤전기,정인환,분석,737533225,87.153,87.743,0.18080 (100.1808),,2020/04/16 14:28:03,
158,3488800496,이삭전설 주식회사,김현승,분석,737533950,87.153,87.744,0.18089 (100.18089),,2020/04/15 23:04:34,
159,4878800409,주식회사 백산전기,이강호,분석,737546860,87.154,87.745,0.18267 (100.18267),,2020/04/16 12:51:45,
160,1148137654,(주)미동이엔씨,이병복,분석,737568953,87.157,87.748,0.18570 (100.1857),,2020/04/17 09:23:09,
